°C,Reading,Output
24.66,0.7589,13.29
25.11,0.5211,7.32
25.39,0.5026,7.02
24.65,0.7603,13.35
25.14,0.7594,13.32
25.07,0.5146,7.21
25.09,0.5008,6.99
25.05,0.4887,6.8
25.08,0.4891,6.81
25.13,0.4826,6.71
25.06,0.4715,6.54
25.1,0.4749,6.59
24.64,0.7596,13.32
25.08,0.5267,7.41
24.3,0.7609,13.37
25.06,0.4864,6.77
25.06,0.4803,6.68
25.07,0.4817,6.7
25.07,0.4765,6.62
25.06,0.4848,6.74
25.04,0.4821,6.7
25.05,0.4995,6.97
25.05,0.4874,6.78
25.29,0.759,13.3
25.11,0.4935,6.88
25.11,0.4902,6.83
25.1,0.493,6.87
25.09,0.491,6.84
25.09,0.4925,6.86
25.1,0.4926,6.86
25.09,0.4936,6.88
25.1,0.4936,6.88
25.11,0.4943,6.89
25.09,0.4948,6.9
25.1,0.4958,6.91
25.1,0.4953,6.91
25.09,0.4949,6.9
25.1,0.4954,6.91
25.1,0.4988,6.96
25.11,0.496,6.92
25.11,0.4954,6.91
25.1,0.4938,6.88
25.1,0.495,6.9
25.09,0.495,6.9
24.48,0.7604,13.35
25.07,0.4699,6.52
25.16,0.3114,4.45
24.92,0.76,13.34
25.1,0.4861,6.76
25.1,0.4819,6.7
25.12,0.4786,6.65
25.11,0.4724,6.56
25.06,0.4594,6.37
25.05,0.46,6.37
25.08,0.6091,8.98
25.07,0.4518,6.26
25.03,0.4458,6.17
25.06,0.504,7.04
24.39,0.7619,13.41
25.13,0.672,10.48
25.08,0.6231,9.28
25.04,0.5883,8.54
25.09,0.587,8.52
25.05,0.5283,7.44
25.08,0.5144,7.21
25.14,0.5176,7.26
25.06,0.5074,7.1
25.08,0.4761,6.61
25.07,0.5312,7.49
25.07,0.5134,7.2
25.08,0.752,13.03
25.11,0.6885,10.94
25.08,0.7162,11.78
25.09,0.6911,11.01
25.06,0.6841,10.81
25.13,0.707,11.49
25.11,0.6992,11.25
25.15,0.7035,11.38
25,0.7974,14.97
25.13,0.6758,10.58
25.12,0.6749,10.56
25.05,0.638,9.63
24.09,0.7635,13.48
24.69,0.7607,13.36
25.07,0.601,8.8
25.08,0.5899,8.58
25.05,0.588,8.54
25.07,0.5883,8.54
25.07,0.6152,9.11
25.06,0.5135,7.2
25.06,0.5126,7.18
25.09,0.5228,7.35
25.05,0.4743,6.59
25.16,0.5082,7.11
25.1,0.5329,7.52
24.47,0.7605,13.36
25.15,0.5352,7.56
25.1,0.4934,6.88
25.12,0.5113,7.16
25.12,0.5092,7.13
25.11,0.5153,7.23
25.12,0.5275,7.43
25.12,0.4786,6.65
25.11,0.474,6.58
25.12,0.4877,6.79
25.31,0.6532,9.99
25,0.7601,13.34
25.11,0.4936,6.88
25.11,0.4937,6.88
25.11,0.4943,6.89
25.12,0.4934,6.88
25.03,0.6412,9.7
25.05,0.8425,17.46
25.04,0.6375,9.61
25.04,0.8422,17.44
25.12,0.4522,6.26
25.09,0.4105,5.69
25.09,0.3511,4.93
25.09,0.395,5.49
25.1,0.4019,5.58
25.1,0.4103,5.69
25.11,0.4163,5.77
25.11,0.4142,5.74
25.11,0.4294,5.94
25.13,0.4298,5.95
25.06,0.6498,9.91
25.04,0.8449,17.61
25.14,0.5434,7.7
25.09,0.4741,6.58
25.1,0.463,6.42
25.1,0.4804,6.68
25.11,0.4686,6.5
25.13,0.4765,6.62
25.13,0.4918,6.85
25.06,0.6511,9.94
25.05,0.8489,17.88
25.11,0.477,6.63
25.11,0.4212,5.83
25.1,0.4047,5.61
25.09,0.4208,5.83
25.1,0.4316,5.97
25.14,0.4464,6.18
25.11,0.4536,6.28
25.12,0.4579,6.35
25.11,0.4693,6.51
25.12,0.4684,6.5
25.12,0.469,6.51
25.11,0.468,6.49
25.12,0.4675,6.48
25.11,0.4678,6.49
25.12,0.4676,6.49
25.1,0.4677,6.49
25.1,0.4668,6.47
25.1,0.4672,6.48
25.09,0.4651,6.45
25.12,0.463,6.42
25.1,0.6479,9.86
24.9,0.7606,13.36
25.1,0.5667,8.13
25.09,0.4359,6.03
24.61,0.7603,13.35
25.09,0.3421,4.82
25.08,0.3236,4.59
25.07,0.3135,4.47
25.04,0.3417,4.81
25.1,0.6333,9.52
25.02,0.6333,9.51
25.03,0.6366,9.59
25.02,0.636,9.58
25.11,0.6343,9.54
25.12,0.436,6.04
25.1,0.4268,5.91
25.08,0.3919,5.44
25.1,0.3733,5.21
25.09,0.3704,5.17
25.06,0.3148,4.49
25.05,0.4311,5.97
25.05,0.3175,4.52
25.07,0.3501,4.92
25.02,0.2417,3.62
25.02,0.2408,3.61
25.03,0.345,4.85
25.06,0.3355,4.74
25.02,0.2418,3.62
25.02,0.2488,3.7
25.01,0.2317,3.5
25.04,0.3234,4.59
25.06,0.3075,4.4
25.03,0.3263,4.63
25.07,0.3383,4.77
25.03,0.3459,4.87
25.05,0.2904,4.2
25.01,0.6451,9.79
25.02,0.6442,9.77
25.02,0.6459,9.81
25.02,0.7537,13.09
25.02,0.7513,13
25.04,0.7521,13.03
24.22,0.7569,13.22
25.17,0.5613,8.03
25.16,0.5625,8.05
25.14,0.5665,8.12
25.17,0.5549,7.91
25.16,0.563,8.06
25.17,0.5603,8.01
25.15,0.5673,8.14
25.17,0.5629,8.06
25.1,0.5662,8.12
25.09,0.5263,7.41
25.18,0.9844,34.39
25.11,0.9903,35.78
24.79,0.7548,13.14
25.1,0.5964,8.71
25.07,0.5065,7.08
25.06,0.4626,6.41
25.06,0.36,5.04
25.03,0.7548,13.14
25.12,0.373,5.2
25.07,0.7545,13.12
25.1,0.9838,34.26
25.08,0.9872,35.05
25.08,0.981,33.64
25.07,0.9781,33.03
25.11,0.9767,32.73
25.08,0.9667,30.79
24.99,0.7564,13.2
25.12,0.523,7.35
24.73,0.7574,13.24
25.14,0.4915,6.85
25.16,0.4873,6.78
25.15,0.4839,6.73
25.12,0.3953,5.49
25.11,0.3876,5.39
25.1,0.3976,5.52
25.13,0.4095,5.68
25.12,0.4116,5.7
24.82,0.755,13.14
24.84,0.7561,13.18
25.09,0.4398,6.09
25.11,0.4286,5.93
24.72,0.7508,12.98
25.13,0.422,5.84
25.13,0.4088,5.67
25.12,0.4035,5.6
25.1,0.3976,5.52
25.11,0.3938,5.47
25.08,0.388,5.4
25.08,0.3718,5.19
25.11,0.3521,4.94
25.1,0.3393,4.78
25.08,0.7557,13.17
25.09,0.5316,7.5
25.08,0.5123,7.18
25.08,0.451,6.25
25.07,0.9893,35.54
25.09,0.9897,35.63
25.06,0.9904,35.8
24.97,0.756,13.18
25.11,0.9845,34.41
24.85,0.7561,13.19
25.11,0.9895,35.58
25.13,0.9854,34.62
25.07,0.9829,34.06
25.06,0.3966,5.51
25,0.7553,13.15
24.58,0.7558,13.17
25.14,0.4726,6.56
25.13,0.4725,6.56
25.11,0.4585,6.35
25.18,0.4809,6.68
25.15,0.4674,6.48
25.13,0.4662,6.47
25.14,0.4666,6.47
25.13,0.4492,6.22
25.11,0.4264,5.9
25.09,0.4076,5.65
25.09,0.3937,5.47
25.07,0.3773,5.26
25.01,0.7583,13.27
25.11,0.4567,6.33
25.12,0.5869,8.52
25.09,0.3839,5.34
25.1,0.406,5.63
25.09,0.3499,4.92
25.08,0.3418,4.82
25.09,0.376,5.24
25.07,0.3299,4.67
25.08,0.32,4.55
25.08,0.3341,4.72
25.09,0.3184,4.53
25.07,0.3252,4.61
25.06,0.3079,4.4
25.07,0.3159,4.5
25.07,0.3253,4.61
25.04,0.7589,13.29
25.1,0.4258,5.89
25.09,0.5074,7.1
25.05,0.7586,13.28
25.11,0.4526,6.27
25.09,0.405,5.62
25.11,0.3957,5.49
25.09,0.3771,5.26
25.09,0.3625,5.07
25.09,0.3575,5.01
25.07,0.335,4.73
25.08,0.3203,4.55
25.06,0.3078,4.4
25.05,0.3125,4.46
25.05,0.2943,4.24
25.05,0.287,4.16
25.07,0.2812,4.09
25.06,0.2737,4
25.06,0.7588,13.29
25.14,0.4963,6.92
25.12,0.3828,5.33
25.11,0.3655,5.11
25.08,0.2539,3.76
25.08,0.2821,4.1
25.06,0.2222,3.38
25.06,0.2325,3.51
25.04,0.2077,3.21
25.04,0.2144,3.29
25.03,0.2123,3.26
25.04,0.2001,3.11
25.04,0.2128,3.27
25.1,0.411,5.7
25.05,0.4296,5.95
25.11,0.4842,6.74
25.04,0.1877,2.96
25.09,0.4161,5.76
25.05,0.4124,5.72
25.06,0.4118,5.71
25.08,0.4021,5.58
25.03,0.3433,4.83
25.1,0.534,7.54
25.11,0.4264,5.9
24.84,0.7551,13.15
25.06,0.4681,6.49
25.04,0.3633,5.08
25.1,0.6217,9.25
25.09,0.4404,6.1
25.08,0.4866,6.77
25.06,0.4257,5.89
25.08,0.4973,6.94
25.12,0.5649,8.09
25.11,0.4972,6.94
25.12,0.5568,7.94
25.12,0.4873,6.78
25.12,0.601,8.8
25.12,0.4911,6.84
25.12,0.545,7.73
25.13,0.6017,8.82
25.15,0.6322,9.49
25.15,0.6503,9.92
25.14,0.5939,8.66
25.17,0.645,9.79
25.13,0.624,9.3
25.15,0.6714,10.46
25.13,0.6421,9.72
25.12,0.4343,6.01
24.9,0.7551,13.15
25.1,0.3126,4.46
25.12,0.3979,5.52
25.1,0.407,5.64
25.1,0.4288,5.94
25.13,0.4629,6.42
25.2,0.7087,11.54
25.12,0.4689,6.51
25.13,0.5192,7.29
25.15,0.6319,9.48
25.09,0.4556,6.31
25.05,0.4073,5.65
25.07,0.3793,5.28
